episode, onehot_dqn, xy_dqn
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+02,7.331699413205941367e-03,0.000000000000000000e+00
5.000000000000000000e+02,1.254976905286703526e-01,0.000000000000000000e+00
6.000000000000000000e+02,5.475207775256662329e-02,0.000000000000000000e+00
7.000000000000000000e+02,6.909785839879976910e-02,0.000000000000000000e+00
8.000000000000000000e+02,4.113404594353720078e-02,0.000000000000000000e+00
9.000000000000000000e+02,8.597881802027629305e-02,0.000000000000000000e+00
1.000000000000000000e+03,8.286338659903058623e-02,0.000000000000000000e+00
1.100000000000000000e+03,1.216790445607182358e-01,0.000000000000000000e+00
1.200000000000000000e+03,8.857978348130066126e-02,0.000000000000000000e+00
1.300000000000000000e+03,1.644971238176055894e-01,0.000000000000000000e+00
1.400000000000000000e+03,1.722542781929831401e-01,0.000000000000000000e+00
1.500000000000000000e+03,9.143190941388606996e-02,1.460227577365242474e-02
1.600000000000000000e+03,8.255910372406381759e-02,2.805029534577451952e-02
1.700000000000000000e+03,1.353918566398244205e-01,9.441828885035125074e-02
1.800000000000000000e+03,1.175774243738846869e-01,0.000000000000000000e+00
1.900000000000000000e+03,1.139942251847320537e-01,5.675926662549810042e-02
2.000000000000000000e+03,7.889994721715848369e-02,9.760349089388370425e-02
2.100000000000000000e+03,5.473478766911721999e-02,3.447245429345388492e-03
2.200000000000000000e+03,1.543906961449768300e-01,2.141749547418241029e-01
2.300000000000000000e+03,1.742106658755357973e-01,0.000000000000000000e+00
2.400000000000000000e+03,2.125552645879961455e-01,4.733008620967336239e-02
2.500000000000000000e+03,1.188414513277369911e-01,0.000000000000000000e+00
2.600000000000000000e+03,1.121422898761333942e-01,2.973411843993051251e-01
2.700000000000000000e+03,1.486656535011207092e-01,2.716833230360334306e-01
2.800000000000000000e+03,1.302278646539085372e-01,2.579536835827557217e-01
2.900000000000000000e+03,1.078050606374305193e-01,2.662934714610515341e-01
3.000000000000000000e+03,1.827561735748312044e-01,1.972357059196852835e-01
3.100000000000000000e+03,1.272003201704864084e-01,1.383720481112153677e-01
3.200000000000000000e+03,1.225995104164988581e-01,2.661634562934369619e-01
3.300000000000000000e+03,1.816102528367375124e-01,2.883746616798674167e-01
3.400000000000000000e+03,3.633066870744482424e-01,2.888574174623680935e-01
3.500000000000000000e+03,3.423019051850453298e-01,2.528437072348513337e-01
3.600000000000000000e+03,2.888509103917836218e-01,1.254905079120700040e-01
3.700000000000000000e+03,3.498443325560080530e-01,2.598355826686111758e-01
3.800000000000000000e+03,2.824912400754364672e-01,3.001718113765581286e-01
3.900000000000000000e+03,3.093082926670109867e-01,3.036115156646402857e-01
4.000000000000000000e+03,2.813171063443991038e-01,3.152074657255056200e-01
4.100000000000000000e+03,3.021358959352409279e-01,1.852330060945433787e-01
4.200000000000000000e+03,2.366476561278075819e-01,1.240364254775830344e-01
4.300000000000000000e+03,2.977060067403262678e-01,5.014488018249056711e-02
4.400000000000000000e+03,3.414462818499682806e-01,2.778738316883019865e-01
4.500000000000000000e+03,1.534788971406128577e-01,1.801592684284124279e-01
4.600000000000000000e+03,2.326216752738177740e-01,1.640826768733416319e-01
4.700000000000000000e+03,3.182635924850892306e-01,1.085776541597645861e-01
4.800000000000000000e+03,2.933349573855886794e-01,3.428126234235094327e-01
4.900000000000000000e+03,3.309703271939736791e-01,1.209789383410965757e-01
5.000000000000000000e+03,3.121406308529418583e-01,1.789945622624943278e-01
5.100000000000000000e+03,3.320789271068423920e-01,3.057185953847025850e-01
5.200000000000000000e+03,3.188688018028013604e-01,2.902010594979084757e-01
5.300000000000000000e+03,3.510783664151131411e-01,2.738764114789070669e-01
5.400000000000000000e+03,2.603757383684814353e-01,1.148725165614003507e-01
5.500000000000000000e+03,3.198927010711778984e-01,2.033021179768279008e-01
5.600000000000000000e+03,3.079158477073017375e-01,2.478660480699853841e-01
5.700000000000000000e+03,2.947655787714146269e-01,2.975072721402153286e-01
5.800000000000000000e+03,3.289634267230134856e-01,3.120802691498079096e-01
5.900000000000000000e+03,2.788191743942888823e-01,2.984590218774531567e-01
6.000000000000000000e+03,3.273847967548783044e-01,2.762015771059987412e-01
6.100000000000000000e+03,2.917524751774551728e-01,3.037125374464756944e-01
6.200000000000000000e+03,3.347808380717282040e-01,2.577473310892800518e-01
6.300000000000000000e+03,3.187079522423496569e-01,2.362803437275677876e-01
6.400000000000000000e+03,3.133751488036107813e-01,2.866273421535092680e-01
6.500000000000000000e+03,2.968532766499281106e-01,2.046833514598310477e-01
6.600000000000000000e+03,3.056271411540828487e-01,2.922340860986381572e-01
6.700000000000000000e+03,2.545865559253148169e-01,2.466903882255518377e-01
6.800000000000000000e+03,3.052032029315263628e-01,3.000933808412890036e-01
6.900000000000000000e+03,2.933589672141386218e-01,3.167506726117239046e-01
7.000000000000000000e+03,2.642906018966584281e-01,2.395660126314588523e-01
7.100000000000000000e+03,3.242631520642220155e-01,2.859979462252321691e-01
7.200000000000000000e+03,2.980574379433721388e-01,3.209378599174438906e-01
7.300000000000000000e+03,3.135747805085070117e-01,2.737914414889917047e-01
7.400000000000000000e+03,3.176796674135221044e-01,3.112267564276689491e-01
7.500000000000000000e+03,3.356601112428975187e-01,1.570824034552093518e-01
7.600000000000000000e+03,3.628936593453087611e-01,3.303939226580046573e-01
7.700000000000000000e+03,3.551452795321925482e-01,3.156765932805632446e-01
7.800000000000000000e+03,3.583947554031796101e-01,2.697199254142479408e-01
7.900000000000000000e+03,3.441156057923837608e-01,2.859509581794495436e-01
8.000000000000000000e+03,3.645037366090164710e-01,3.108356102585242975e-01
