episode, sarsa, exp_sarsa, q, q_with_memory
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.811713571735517864e-03
1.000000000000000000e+02,2.449451365021024316e-03,3.482066090247867146e-03,0.000000000000000000e+00,3.311410204919917281e-03
2.000000000000000000e+02,2.329403875848966993e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+02,6.019810368018486783e-03,3.149118156016161157e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+02,3.889106796995733112e-03,2.819525952261937515e-03,4.494750378349801623e-02,0.000000000000000000e+00
5.000000000000000000e+02,2.819525952261937515e-03,2.735783211953805947e-03,4.160972053275519000e-02,3.698501866941400918e-03
6.000000000000000000e+02,7.410456794283961680e-03,6.101773144120954326e-03,6.880410689578697614e-02,2.994780032330804972e-03
7.000000000000000000e+02,4.759443075345425565e-03,3.311410204919917281e-03,5.061694826502419198e-02,0.000000000000000000e+00
8.000000000000000000e+02,9.128421013459897537e-03,3.012505890859865088e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+02,1.506485214010866609e-02,3.842608323292275724e-02,6.026637666707575225e-02,3.698501866941400918e-03
1.000000000000000000e+03,3.310790786335159747e-02,3.745789617134223648e-02,3.347071584661438781e-02,5.684479959237781488e-02
1.100000000000000000e+03,3.953190826645208017e-02,6.495919694939121525e-02,4.533747347832926128e-02,4.576114442001243121e-02
1.200000000000000000e+03,3.756035207033953105e-02,8.798576227332409461e-02,1.233634907212568660e-01,8.841672341354639419e-02
1.300000000000000000e+03,1.065461482095152873e-02,8.998680323582691765e-02,1.008718509139882452e-01,1.569867458071132899e-02
1.400000000000000000e+03,7.650875828906611442e-02,1.273585799362817184e-01,6.414104568410128326e-02,7.473016021859273106e-02
1.500000000000000000e+03,8.943325274326882623e-02,1.072593814981640248e-01,1.298565391642952649e-01,4.248981834987975575e-02
1.600000000000000000e+03,0.000000000000000000e+00,3.941847603719075138e-02,5.690093338028631709e-02,7.119387087199922221e-03
1.700000000000000000e+03,2.607941853197789581e-02,1.068067930541876653e-01,3.472793028939530902e-01,0.000000000000000000e+00
1.800000000000000000e+03,1.328696553268527980e-01,3.125873039461397607e-01,1.585347264758059094e-01,0.000000000000000000e+00
1.900000000000000000e+03,1.156845298951541812e-01,4.772169988017296166e-02,2.472199129425830810e-01,8.834323549436430556e-02
2.000000000000000000e+03,2.234268373385738526e-01,6.058113379949185695e-02,1.413336174222328268e-01,8.723365196652491105e-02
2.100000000000000000e+03,1.269718995153906460e-01,1.725314174289209468e-01,1.883562530183863493e-01,1.161113544420928206e-01
2.200000000000000000e+03,2.171468847200072050e-01,1.418520507166695366e-01,1.864551050566196633e-01,1.914641588472968114e-01
2.300000000000000000e+03,1.864609553874714276e-01,2.391038337769835209e-01,1.037252637312810200e-01,8.217069557035572291e-02
2.400000000000000000e+03,6.488878337876169411e-02,1.028970437953787148e-01,1.413645869519002674e-01,1.632427774182459157e-01
2.500000000000000000e+03,6.937837968566258617e-02,7.311102719535987615e-02,1.813643361859073044e-01,1.016964933376467567e-01
2.600000000000000000e+03,1.326034984764536406e-01,6.402266886428274739e-02,8.057083365263272012e-02,1.905235590522748237e-03
2.700000000000000000e+03,1.411895642938261197e-01,2.073940112964991755e-01,1.668340956007046683e-01,1.672573584029153071e-01
2.800000000000000000e+03,9.400258478026991826e-02,1.243665706854102243e-01,1.773226150581644622e-01,1.935144707865969482e-01
2.900000000000000000e+03,1.857782074692607976e-01,5.614697368761528695e-02,2.882763998229912472e-01,3.136180032388162786e-01
3.000000000000000000e+03,1.089908845432896040e-01,2.647483910727574385e-01,4.042615992392815244e-02,1.169810122022440502e-01
3.100000000000000000e+03,1.039220553384523488e-01,2.717199718710196499e-01,1.757209577101209452e-01,9.575013191603783114e-02
3.200000000000000000e+03,3.177255066794349991e-01,2.705305025073861946e-01,1.467553740211716418e-01,1.897168813693012046e-01
3.300000000000000000e+03,2.924056857408512400e-01,2.950651713010245536e-01,2.127508833035205438e-01,9.883824022977634807e-03
3.400000000000000000e+03,1.218079757919801887e-01,1.173775916134029429e-01,2.412009482139972072e-01,2.098907287018118573e-01
3.500000000000000000e+03,1.143229753012818678e-01,2.555027649482777274e-01,1.940376683475112662e-01,8.857028232891465958e-02
3.600000000000000000e+03,2.022828450687756130e-01,5.518888417555265630e-02,2.012926720532981495e-01,6.604463997208967485e-02
3.700000000000000000e+03,2.334464611942456136e-01,2.325735008046443675e-01,1.393807853477554981e-01,1.826916360945655127e-01
3.800000000000000000e+03,1.797997853210883124e-01,2.464130136156702788e-01,1.288452986208915019e-01,1.174194078888522730e-01
3.900000000000000000e+03,1.737851862597569186e-01,2.916406174701653420e-01,2.275249101526111151e-01,3.090203743156688665e-01
4.000000000000000000e+03,1.326920051703641690e-01,3.389795848453824312e-01,2.053433282456050002e-01,1.409013788600673722e-01
4.100000000000000000e+03,2.790503374665226910e-01,2.328192017284319015e-01,2.378586066172233837e-01,1.193515781955442334e-01
4.200000000000000000e+03,2.786887217001677297e-01,2.662264036146199664e-01,2.228855984822229186e-01,9.579607997056163726e-02
4.300000000000000000e+03,1.736407528658470423e-01,2.507630999824227436e-01,1.624386331015498230e-01,1.544964143413229685e-01
4.400000000000000000e+03,1.272140463820672363e-01,2.016222948665554182e-01,1.494665874169517628e-01,1.991951712659363258e-02
