episode, tdn, tdn_sarsa
0.000000000000000000e+00,0.000000000000000000e+00,2.627982437627809920e-03
1.000000000000000000e+02,2.763417385811925593e-03,0.000000000000000000e+00
2.000000000000000000e+02,4.858734325838588719e-03,3.447245429345388492e-03
3.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+02,0.000000000000000000e+00,4.778855240869991743e-03
5.000000000000000000e+02,5.721559002876935862e-03,0.000000000000000000e+00
6.000000000000000000e+02,1.480004979404595314e-02,0.000000000000000000e+00
7.000000000000000000e+02,1.152251178792709253e-02,0.000000000000000000e+00
8.000000000000000000e+02,5.049113880743820795e-03,1.506794733184411983e-02
9.000000000000000000e+02,0.000000000000000000e+00,5.365539514864603107e-03
1.000000000000000000e+03,0.000000000000000000e+00,2.448932999283756282e-02
1.100000000000000000e+03,1.300921460532191917e-02,1.069506089712869354e-02
1.200000000000000000e+03,1.182273512563465287e-02,1.374648211130196328e-02
1.300000000000000000e+03,0.000000000000000000e+00,3.344858792848401548e-03
1.400000000000000000e+03,0.000000000000000000e+00,8.072740949475661412e-03
1.500000000000000000e+03,9.833573128041750780e-03,1.913449990867528011e-02
1.600000000000000000e+03,3.245513141842010577e-03,0.000000000000000000e+00
1.700000000000000000e+03,0.000000000000000000e+00,6.656941348172133906e-03
1.800000000000000000e+03,2.149445067619467579e-03,0.000000000000000000e+00
1.900000000000000000e+03,4.252435185300382919e-02,1.417238677657857784e-02
2.000000000000000000e+03,5.405458161528107347e-02,4.379402089643467250e-02
2.100000000000000000e+03,5.956606059386593266e-02,2.930156937477171666e-02
2.200000000000000000e+03,3.098883682808567866e-02,2.283048738719572687e-03
2.300000000000000000e+03,1.338467635339328325e-02,7.398498115807430366e-03
2.400000000000000000e+03,6.558563583476169356e-02,1.676943502258681704e-02
2.500000000000000000e+03,2.193087509049554060e-03,2.352541922649192471e-02
2.600000000000000000e+03,3.735860471657980603e-03,0.000000000000000000e+00
2.700000000000000000e+03,2.348604056440042886e-02,0.000000000000000000e+00
2.800000000000000000e+03,7.590103361619923716e-02,0.000000000000000000e+00
2.900000000000000000e+03,1.441782567942984372e-01,0.000000000000000000e+00
3.000000000000000000e+03,5.532707523458588184e-02,3.520293692379770911e-02
3.100000000000000000e+03,3.344858792848401548e-03,2.306376940395720582e-02
3.200000000000000000e+03,3.245513141842010577e-03,4.078466568158168465e-02
3.300000000000000000e+03,0.000000000000000000e+00,1.390228962351217762e-02
3.400000000000000000e+03,2.575235662550888135e-02,1.872269038696577556e-02
3.500000000000000000e+03,8.001257625684298977e-03,3.868591365732857584e-02
3.600000000000000000e+03,3.684256261316118386e-02,5.452374937220318823e-02
3.700000000000000000e+03,1.088161223325118943e-01,2.018863938281144355e-02
3.800000000000000000e+03,1.323746651829653953e-01,3.402305456268046868e-02
3.900000000000000000e+03,0.000000000000000000e+00,3.873244136627083944e-02
4.000000000000000000e+03,0.000000000000000000e+00,4.977024019355964085e-02
4.100000000000000000e+03,2.306109837090477427e-03,1.754715645893617781e-01
4.200000000000000000e+03,0.000000000000000000e+00,2.261151097571820756e-01
4.300000000000000000e+03,5.387959065625626959e-02,5.280575192756822855e-02
4.400000000000000000e+03,2.430854657996246726e-02,1.275227544435409040e-02
4.500000000000000000e+03,5.212571376000432744e-02,3.954340320264342762e-02
4.600000000000000000e+03,0.000000000000000000e+00,9.535817379176587949e-02
4.700000000000000000e+03,1.470084007040993179e-01,2.278724453634355454e-02
4.800000000000000000e+03,8.421347099463785679e-02,1.046323659263394962e-01
4.900000000000000000e+03,5.012988857400786646e-02,8.657868949374961098e-02
5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000000e+03,1.759970171306527997e-01,1.514021086929153714e-01
5.200000000000000000e+03,1.501996121858505395e-01,1.532167906057090023e-01
5.300000000000000000e+03,1.436471020587163083e-01,1.687379476126766309e-01
5.400000000000000000e+03,1.202968776198629075e-01,7.470864574556283777e-02
5.500000000000000000e+03,1.082280688781493277e-01,1.122702930439887087e-01
5.600000000000000000e+03,2.670819353847255773e-01,7.161825667380916638e-02
5.700000000000000000e+03,1.221448014682545713e-01,9.552486526099170094e-02
5.800000000000000000e+03,2.076968560648670692e-01,1.378085115544796235e-01
5.900000000000000000e+03,2.260780324932182006e-01,1.774218756053859702e-01
6.000000000000000000e+03,2.794150000387921051e-01,4.418665195597194090e-02
6.100000000000000000e+03,2.674581737771097312e-01,2.000595555741970302e-02
6.200000000000000000e+03,2.230083963179096407e-01,2.836096297269028593e-02
6.300000000000000000e+03,3.001641893629392599e-01,1.892639328342706970e-02
6.400000000000000000e+03,2.017041319253442544e-01,6.903729811492938240e-02
6.500000000000000000e+03,2.356293959862950649e-01,1.317473477869120779e-01
6.600000000000000000e+03,2.311365306198139846e-01,1.793989231434992559e-01
6.700000000000000000e+03,1.065417206388747928e-01,1.544497012300514449e-01
6.800000000000000000e+03,1.709454555458694014e-01,1.693604910989848500e-01
